,,,,,Wind Direction-f1,Wind Direction-f1,Wind Speed-f1,Wind Speed-f1,Temperature-f1,Temperature-f1,Pressure-f1,Pressure-f1,Wind Direction-model_score,Wind Direction-model_score,Wind Direction-dummy_score,Wind Direction-dummy_score,Wind Direction-feature_score,Wind Direction-feature_score,Wind Direction-feature_increase,Wind Direction-feature_increase,Wind Speed-model_score,Wind Speed-model_score,Wind Speed-dummy_score,Wind Speed-dummy_score,Wind Speed-feature_score,Wind Speed-feature_score,Wind Speed-feature_increase,Wind Speed-feature_increase,Temperature-model_score,Temperature-model_score,Temperature-dummy_score,Temperature-dummy_score,Temperature-feature_score,Temperature-feature_score,Temperature-feature_increase,Temperature-feature_increase,Pressure-model_score,Pressure-model_score,Pressure-dummy_score,Pressure-dummy_score,Pressure-feature_score,Pressure-feature_score,Pressure-feature_increase,Pressure-feature_increase
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
feature_set,window,atp,css,csd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynse-1-1,-1,-1,-1.0,-1.0,0.12698745068919154,0.013445982910803919,0.17354714146657288,0.01851718260544473,0.23288052986379734,0.023916868873496883,0.22867285903173415,0.020499534769072455,0.13992444165494675,0.0019195757317671904,0.1520065721776511,0.0,0.14516940544811963,0.0,-0.005244963793173329,0.0019195757317671898,0.16544783780772532,0.012459450308479916,0.25061653957087054,0.0,0.3591724268091259,0.0,-0.19372458900140233,0.012459450308479916,0.3069502439228233,0.045120218671361415,0.2501307887367121,0.0,0.34029827928339706,0.0,-0.03334803536057509,0.04512021867136141,0.2509767833903753,0.039743397577890825,0.25009341952893954,0.0,0.3268153379372961,0.0,-0.07583855454692033,0.03974339757789083
fsmFalseFalse,50,2000,0.1,0.005,0.2266576233631891,0.015686725130141944,0.3512951211153913,0.03130303683495971,0.3622037504077621,0.027384753662430646,0.3640350554876095,0.02676762161860548,0.150021525235422,0.0024101419119518875,0.15174873020840343,0.0,0.14516940544811963,0.0,0.004852119787301978,0.002410141911951883,0.23751560876504638,0.02771792293010057,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.12165681804408132,0.027717922930100575,0.25551626238463526,0.03767596123195905,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.08478201689876287,0.037675961231959064,0.2581144980629612,0.03944559826570463,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.06870083987433452,0.03944559826570463
fsmFalseFalse,200,2000,0.1,0.005,0.22382729766990792,0.017119790336733835,0.34521160282635804,0.03398594385986382,0.35598576258440223,0.030588129628966166,0.3571560001943716,0.030206632123856575,0.14956868675440843,0.0025882072530543894,0.15174873020840343,0.0,0.14516940544811963,0.0,0.004399281306288511,0.002588207253054389,0.23574082910992086,0.03055541503807747,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.12343159769920689,0.03055541503807747,0.25842943882908526,0.0372279292104821,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.08186884045431318,0.03722792921048209,0.2544954361162717,0.03726306798561215,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.07231990182102405,0.03726306798561214
fsmFalseFalse,1000,2000,0.1,0.005,0.21974768731938588,0.01867757450571396,0.3358384506913145,0.03713806425696642,0.3463131622818078,0.03109039105422418,0.34871287476781776,0.03045104640638066,0.14870159142081438,0.003156341848981806,0.15174873020840343,0.0,0.14516940544811963,0.0,0.003532185972694424,0.0031563418489818015,0.23180532200672066,0.02983086125157697,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.12736710480240704,0.029830861251576968,0.25709719752786564,0.033775933899772084,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.08320108175553265,0.03377593389977209,0.2538300204068895,0.03884711816925428,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.07298531753040596,0.03884711816925427
fsmFalseFalse,1500,2000,0.1,0.005,0.21774041353210502,0.019338662353714186,0.3323252082067486,0.0383143678914866,0.3454291946280188,0.03224747538033917,0.3468244865009784,0.03216344956843376,0.14857150554865217,0.003329465319356842,0.15174873020840343,0.0,0.14516940544811963,0.0,0.0034021001005323276,0.0033294653193568394,0.2320164879350745,0.029157943176342654,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.12715593887405308,0.029157943176342658,0.2618218574468367,0.03328449779958829,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.07847642183656169,0.03328449779958829,0.25984787427048334,0.03649599821272648,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.06696746366681217,0.03649599821272648
fsmFalseFalse,2500,2000,0.1,0.005,0.2159303439185045,0.019489403441300197,0.3288098616697062,0.03862152042760749,0.34200623731122154,0.031804682587976016,0.34318856091332484,0.032169005316120644,0.14858079022306078,0.0032723235377313396,0.15174873020840343,0.0,0.14516940544811963,0.0,0.003411384774940766,0.003272323537731336,0.23265002473904567,0.027612338395645846,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.12652240207008195,0.027612338395645846,0.26423067570977,0.0370363257915438,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.07606760357362849,0.037036325791543784,0.2628520248156611,0.03832645479879742,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.06396331312163439,0.03832645479879743
fsmTrueTrue,50,2000,0.125,0.05,0.21973119560555968,0.020018550001164037,0.3361160891550601,0.04032905096475118,0.34879840783301586,0.03307489624780455,0.3500438510975025,0.03211881855292391,0.14824133576709458,0.003490005415448865,0.15174873020840343,0.0,0.14516940544811963,0.0,0.0030719303189745972,0.0034900054154488715,0.2269067761924568,0.029949124244918784,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.13226565061667087,0.029949124244918784,0.2657871380441151,0.039963590209618066,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.07451114123928325,0.03996359020961805,0.25903619541069606,0.037468182693052535,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.06777914252659971,0.03746818269305255
fsmTrueTrue,200,2000,0.125,0.05,0.21311018201247017,0.02113901263759245,0.32298027766425097,0.04162050810569777,0.33910255215407614,0.030821289375550773,0.34028652159770967,0.030465669084262136,0.14757522940619924,0.003600672778396131,0.15174873020840343,0.0,0.14516940544811963,0.0,0.002405823958079322,0.00360067277839612,0.22361718539903955,0.029769810867154013,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.13555524141008807,0.029769810867154013,0.2709880459516662,0.04085307505111427,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.06931023333173224,0.040853075051114275,0.2613849678488994,0.04417091394874029,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.06543037008839629,0.04417091394874028
fsmTrueTrue,1000,2000,0.125,0.05,0.2092807811991593,0.02137033746751252,0.3147305605656338,0.040525283762377684,0.33271470398521275,0.030282843002290328,0.3349505927714365,0.0310270549021075,0.14694346458688962,0.003870997523147343,0.15174873020840343,0.0,0.14516940544811963,0.0,0.0017740591387696459,0.00387099752314734,0.22211028186077997,0.029287872054300314,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.1370621449483478,0.029287872054300314,0.26547115438711794,0.03828088697572204,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.07482712489628039,0.03828088697572203,0.2620533874376643,0.03754994646076701,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.06476195049963138,0.03754994646076699
fsmTrueTrue,1500,2000,0.125,0.05,0.20826829797162108,0.022728331328826054,0.3142989298101654,0.04227207241811391,0.33164882368143944,0.03211276532049203,0.3329171123097228,0.03292821856148305,0.14697923785094838,0.003967726138319329,0.15174873020840343,0.0,0.14516940544811963,0.0,0.0018098324028284608,0.003967726138319337,0.22287394806077668,0.028910938513253985,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.1362984787483511,0.028910938513253985,0.2702310335088434,0.041385149468552186,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.07006724577455486,0.0413851494685522,0.2629886381380967,0.03971619952220557,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.0638266997991987,0.03971619952220558
fsmTrueTrue,2500,2000,0.125,0.05,0.20699527275055157,0.022489305343353996,0.31221952583568974,0.04231120304633435,0.3304177642542244,0.03295815273231419,0.33202148795918146,0.033029512190465606,0.14689758817634407,0.0038638684495352466,0.15174873020840343,0.0,0.14516940544811963,0.0,0.0017281827282240585,0.0038638684495352423,0.22300020612747953,0.028570996020963954,0.25123365826089855,0.0,0.3591724268091259,0.0,-0.1361722206816481,0.028570996020963954,0.27255073726805784,0.039318488191382325,0.2499729875742836,0.0,0.34029827928339706,0.0,-0.06774754201534054,0.0393184881913823,0.268013744992245,0.04283782815569093,0.2505132750114048,0.0,0.3268153379372961,0.0,-0.05880159294505062,0.04283782815569093
